,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
,ci96_lo,ci96_lo,ci96_lo,ci96_hi,ci96_hi,ci96_hi,mean,mean,mean,count,count,count,ci96_lo,ci96_lo,ci96_lo,ci96_hi,ci96_hi,ci96_hi,mean,mean,mean,count,count,count
,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean,xtrain iob mean,xtrain cob mean,xtrain bg mean
hours,,,,,,,,,,,,,,,,,,,,,,,,
6,1.8874939629491994,0.12235949654595935,2.102752319545404,3.075003964131419,1.102079841689335,3.2501408377175007,2.481248963540309,0.6122196691176471,2.6764465786314524,17,17,17,3.2468332655149186,0.23908024293610586,3.7473165599318623,4.497382960376699,1.3982548265083383,5.423773936872921,3.872108112945809,0.8186675347222221,4.585545248402392,18,18,18
7,2.2657916108781917,0.34148607520823765,2.444607553467053,3.1544069155722596,1.0353521600858802,3.5387079545543374,2.7100992632252257,0.6884191176470589,2.9916577540106952,17,17,17,4.208996065634714,0.4224564556339624,5.102839015871475,5.202737052904687,1.4545747943660379,6.293673043497727,4.7058665592697,0.9385156250000001,5.698256029684601,18,18,18
8,2.1444453575462625,0.055767686695753105,2.459902118248426,3.123470588534143,0.8188646662454233,3.685561157971153,2.6339579730402027,0.43731617647058824,3.0727316381097896,17,17,17,4.174618103074177,-0.005830117445484007,5.185427519990162,5.1303445317313905,1.0791026868899283,6.662146176154964,4.652481317402784,0.5366362847222221,5.923786848072563,18,18,18
9,1.9708788951389835,-0.060157624407696314,2.424190085202985,2.9387418198405237,0.4399921832312257,3.8464941885064996,2.4548103574897535,0.1899172794117647,3.1353421368547423,17,17,17,3.4789852347799792,-0.12294045060347009,4.512903422558191,4.462304423787166,0.6575151033812479,6.1732808693403864,3.9706448292835725,0.2672873263888889,5.343092145949289,18,18,18
10,1.844078857070662,-0.04244968631408495,2.7125074797502693,2.705067100144282,0.1374221127846732,4.151270758817885,2.274572978607472,0.04748621323529412,3.4318891192840772,17,17,17,2.8045497854552304,-0.12524944894306791,3.7924099277352776,3.734045999213852,0.4374716711652902,5.434244370347592,3.2692978923345413,0.15611111111111112,4.613327149041435,18,18,18
11,1.8042186047475817,-0.003308823529411765,2.9573847302827247,2.627611960744826,0.010202205882352941,4.6191382425427685,2.2159152827462036,0.003446691176470588,3.788261486412747,17,17,17,2.3281076601580066,-0.02604166666666667,3.5433259406750004,3.146900170870767,0.0802951388888889,4.971149425228937,2.7375039155143868,0.027126736111111112,4.257237682951969,18,18,18
12,1.523540161951891,0.0,2.7210671147085037,2.3352644150541026,0.0,4.351616504193603,1.9294022885029969,0.0,3.5363418094510535,17,17,17,1.9159433700152055,0.0,3.0588024311466073,2.988339084005468,0.0,4.730259617915442,2.452141227010337,0.0,3.8945310245310245,18,18,18
13,1.5153655719323802,-0.10108777796292184,2.4474413790373157,2.117336804225493,0.4970712338452748,3.9267286526117076,1.8163511880789367,0.19799172794117648,3.1870850158245116,17,17,17,1.3885578465543333,0.0,2.3937209778953052,2.3906518907705876,0.0,3.9034260021088176,1.8896048686624605,0.0,3.1485734900020614,18,18,18
14,1.558312160851718,0.16412190125236448,1.9286800489196743,2.478455506344036,0.9307034663946945,3.2148231705499315,2.018383833597877,0.5474126838235295,2.571751609734803,17,17,17,1.2318905833227205,-0.04037939770141147,1.9011909113089187,2.2643281484981053,0.8861172449236336,2.7402067386601594,1.748109365910413,0.4228689236111111,2.320698824984539,18,18,18
15,1.993346704759432,0.5063844114699758,2.263096717527109,3.026292725720774,1.3970714708829655,3.369901208916196,2.509819715240103,0.9517279411764706,2.8164989632216524,17,17,17,1.7280499311768664,0.4413432475012089,1.685168349630423,3.039480386091671,1.7323546691654579,2.5934092632329033,2.3837651586342687,1.0868489583333334,2.1392888064316633,18,18,18
